CVGEO,Nombre,POB_1995,POB_2000,POB_2005,POB_2010,prom
20001,Abejones,967,1540,1144,1084,1183.75
20002,Acatlán de Pérez Figueroa,44006,44579,42347,44885,43954.25
20003,Asunción Cacalotepec,2631,2567,2095,2495,2447
20004,Asunción Cuyotepeji,845,883,753,1012,873.25
20005,Asunción Ixtaltepec,15537,14249,14438,14751,14743.75
20006,Asunción Nochixtlán,12299,13745,14676,17820,14635
20007,Asunción Ocotlán,3982,3655,3257,2612,3376.5
20008,Asunción Tlacolulita,958,918,699,842,854.25
20009,Ayotzintepec,5087,5660,6524,6720,5997.75
20010,El Barrio de la Soledad,13041,13186,13439,13608,13318.5
20011,Calihualá,1298,1317,1057,1220,1223
20012,Candelaria Loxicha,8124,9566,8686,9860,9059
20013,Ciénega de Zimatlán,3075,2942,2562,2785,2841
20014,Ciudad Ixtepec,21498,22675,24181,26450,23701
20015,Coatecas Altas,5216,5803,4882,4712,5153.25
20016,Coicoyán de las Flores,4862,5733,7598,8531,6681
20017,La Compañía,4174,3998,3367,3302,3710.25
20018,Concepción Buenavista,1004,946,828,834,903
20019,Concepción Pápalo,3382,3077,2920,3071,3112.5
20020,Constancia del Rosario,2976,3295,3796,3860,3481.75
20021,Cosolapa,14547,14467,14305,14667,14496.5
20022,Cosoltepec,1065,931,1022,866,971
20023,Cuilápam de Guerrero,11235,12812,15041,18428,14379
20024,Cuyamecalco Villa de Zaragoza,4094,4298,3783,3846,4005.25
20025,Chahuites,9266,9799,9929,11105,10024.75
20026,Chalcatongo de Hidalgo,7881,7828,7483,8481,7918.25
20027,Chiquihuitlán de Benito Juárez,2551,2501,2368,2458,2469.5
20028,Heroica Ciudad de Ejutla de Crespo,18404,17573,17232,19679,18222
20029,Eloxochitlán de Flores Magón,3124,4149,4042,4263,3894.5
20030,El Espinal,7921,7705,8219,8310,8038.75
20031,Tamazulápam del Espíritu Santo,5391,6704,6908,7362,6591.25
20032,Fresnillo de Trujano,1017,1138,852,1033,1010
20033,Guadalupe Etla,1770,2004,2349,2433,2139
20034,Guadalupe de Ramírez,1309,1400,1214,1425,1337
20035,Guelatao de Juárez,655,754,476,544,607.25
20036,Guevea de Humboldt,5724,5610,5283,5285,5475.5
20037,Mesones Hidalgo,3955,4185,3961,4402,4125.75
20038,Villa Hidalgo,2287,2132,1955,2112,2121.5
20039,Heroica Ciudad de Huajuapan de León,47827,53219,57808,69839,57173.25
20040,Huautepec,5441,6567,5672,5995,5918.75
20041,Huautla de Jiménez,27206,31040,31829,30004,30019.75
20042,Ixtlán de Juárez,6689,7287,7188,7674,7209.5
20043,Heroica Ciudad de Juchitán de Zaragoza,75946,78512,85869,93038,83341.25
20044,Loma Bonita,41744,40877,39166,41535,40830.5
20045,Magdalena Apasco,3845,3942,6148,7522,5364.25
20046,Magdalena Jaltepec,3752,3717,3463,3313,3561.25
20047,Santa Magdalena Jicotlán,121,109,102,93,106.25
